symbol,window,validation_start,training_start,training_end,selection_status,selection_reason,selected_profile_id,candidate_profile_id,selected,strategy_params,eligible,total_return_pct,max_drawdown_pct,total_trades,average_capital_utilization_pct
^TWII,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
^TWII,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.57,1.04,4.0,4.24
^TWII,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-1.01,1.81,4.0,7.41
^TWII,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,participation,False,"{'stage1_ratio': 0.5, 'stage2_ratio': 0.75, 'stage3_ratio': 1.0}",False,-1.46,2.58,4.0,10.59
^TWII,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,high_participation,False,"{'stage1_ratio': 0.65, 'stage2_ratio': 0.85, 'stage3_ratio': 1.0}",False,-1.92,3.34,4.0,13.76
^TWII,3,2017-01-05,2014-12-10,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.55,2.55,9.0,5.82
^TWII,3,2017-01-05,2014-12-10,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.71,4.43,9.0,10.19
^TWII,3,2017-01-05,2014-12-10,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,participation,False,"{'stage1_ratio': 0.5, 'stage2_ratio': 0.75, 'stage3_ratio': 1.0}",False,-3.88,6.28,9.0,14.54
^TWII,3,2017-01-05,2014-12-10,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,high_participation,False,"{'stage1_ratio': 0.65, 'stage2_ratio': 0.85, 'stage3_ratio': 1.0}",False,-5.05,8.11,9.0,18.87
^TWII,4,2018-01-05,2015-12-10,2018-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.62,2.18,11.0,9.07
^TWII,4,2018-01-05,2015-12-10,2018-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.83,3.8,11.0,15.85
^TWII,4,2018-01-05,2015-12-10,2018-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,participation,False,"{'stage1_ratio': 0.5, 'stage2_ratio': 0.75, 'stage3_ratio': 1.0}",False,-4.04,5.38,11.0,22.6
^TWII,4,2018-01-05,2015-12-10,2018-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,high_participation,False,"{'stage1_ratio': 0.65, 'stage2_ratio': 0.85, 'stage3_ratio': 1.0}",False,-5.25,6.95,11.0,29.32
^TWII,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.54,3.42,9.0,7.37
^TWII,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-4.42,5.92,9.0,12.9
^TWII,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,participation,False,"{'stage1_ratio': 0.5, 'stage2_ratio': 0.75, 'stage3_ratio': 1.0}",False,-6.28,8.36,9.0,18.4
^TWII,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,high_participation,False,"{'stage1_ratio': 0.65, 'stage2_ratio': 0.85, 'stage3_ratio': 1.0}",False,-8.11,10.74,9.0,23.88
^TWII,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.13,4.19,7.0,4.9
^TWII,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-3.73,7.24,7.0,8.56
^TWII,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,participation,False,"{'stage1_ratio': 0.5, 'stage2_ratio': 0.75, 'stage3_ratio': 1.0}",False,-5.33,10.21,7.0,12.22
^TWII,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,high_participation,False,"{'stage1_ratio': 0.65, 'stage2_ratio': 0.85, 'stage3_ratio': 1.0}",False,-6.91,13.1,7.0,15.86
