symbol,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days,excess_vs_buy_hold_pct,excess_vs_sma_pct,excess_vs_legacy_pct
^TWII,tu_strategy,available,12,12,12.4281,3.43,0.1158,47,46.81,386966.19,200592653.55,38.1,8.14,2811,-303.9651,-105.7152,
^TWII,adaptive_tu_strategy,available,12,12,36.5205,6.98,0.1708,47,46.81,697031.35,360997639.9,38.1,15.03,2811,-279.8727,-81.6228,24.0924
^TWII,buy_and_hold,available,12,12,316.3932,31.6055,0.9411,12,75.0,504430.24,257383160.19,100.0,99.93,2811,,,
^TWII,sma_8_21,available,12,12,118.1433,23.7858,0.5626,78,39.74,3070768.14,1591931519.37,63.93,63.88,2811,,,
0050.TW,tu_strategy,available,12,12,17.9112,3.84,0.2933,52,44.23,469737.38,243442764.94,39.1,8.48,2816,-663.3926,-190.3078,
0050.TW,adaptive_tu_strategy,available,12,12,41.6826,12.19,0.3567,52,44.23,914019.28,473562243.03,39.1,16.29,2816,-639.6212,-166.5364,23.7714
0050.TW,buy_and_hold,available,12,12,681.3038,33.7888,1.1588,12,75.0,523623.4,265282759.79,100.0,99.9,2816,,,
0050.TW,sma_8_21,available,12,12,208.219,19.432,0.735,81,43.21,3223383.06,1670069714.28,62.68,62.6,2816,,,
2330.TW,tu_strategy,available,12,12,19.8239,7.86,0.3125,50,50.0,736868.35,250541679.9,42.49,9.56,2815,-1771.4755,-387.5423,
2330.TW,adaptive_tu_strategy,available,12,12,33.2805,18.17,0.4492,50,52.0,1342624.77,456607675.65,42.49,17.91,2815,-1758.0189,-374.0857,13.4566
2330.TW,buy_and_hold,available,12,12,1791.2994,44.311,1.2358,12,83.33,865468.52,275678075.08,100.0,98.83,2815,,,
2330.TW,sma_8_21,available,12,12,407.3662,30.2589,0.8385,80,46.25,4834671.97,1640097119.85,62.74,61.16,2815,,,
