symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
^TWII,bull,tu_strategy,available,9,9,15.5315,3.43,0.4611,40,52.5,333839.76,172938009.86,46.17,9.94,2075
^TWII,bull,adaptive_tu_strategy,available,9,9,42.4106,6.98,0.5344,40,52.5,626996.56,324525270.61,46.17,18.99,2075
^TWII,bull,buy_and_hold,available,9,9,635.1885,28.6943,1.5871,9,100.0,401375.93,202541893.16,100.0,99.93,2075
^TWII,bull,sma_8_21,available,9,9,226.4679,16.1375,1.1764,56,50.0,2281834.48,1181334753.16,70.07,70.02,2075
^TWII,bear,tu_strategy,available,1,1,-0.66,0.75,-1.22,1,0.0,7514.82,3918989.16,5.28,1.04,246
^TWII,bear,adaptive_tu_strategy,available,1,1,-2.14,2.44,-1.22,1,0.0,24423.18,12736714.76,5.28,3.41,246
^TWII,bear,buy_and_hold,available,1,1,-24.081,31.6055,-1.2822,1,0.0,32657.03,17581689.62,100.0,99.91,246
^TWII,bear,sma_8_21,available,1,1,-7.3882,15.7896,-0.6183,6,16.67,209824.87,109137334.5,39.43,39.41,246
^TWII,sideways,tu_strategy,available,2,2,-2.0396,2.53,-0.77,6,16.67,45611.61,23735654.53,20.41,4.09,490
^TWII,sideways,adaptive_tu_strategy,available,2,2,-2.0396,2.53,-0.77,6,16.67,45611.61,23735654.53,20.41,4.09,490
^TWII,sideways,buy_and_hold,available,2,2,-25.3973,25.6844,-0.8542,2,0.0,70397.28,37259577.41,100.0,99.93,490
^TWII,sideways,sma_8_21,available,2,2,-27.8502,23.7858,-1.6091,16,12.5,579108.79,301459431.71,50.2,50.18,490
0050.TW,bull,tu_strategy,available,9,9,21.7831,3.84,0.7211,44,50.0,409400.79,212031129.81,47.69,10.43,2078
0050.TW,bull,adaptive_tu_strategy,available,9,9,53.0676,12.19,0.8044,44,50.0,776529.42,401977842.29,47.69,19.71,2078
0050.TW,bull,buy_and_hold,available,9,9,1154.819,28.1933,1.7888,9,100.0,418513.4,209591182.28,100.0,99.88,2078
0050.TW,bull,sma_8_21,available,9,9,352.1997,19.432,1.3694,58,51.72,2396052.19,1239578741.36,69.05,68.96,2078
0050.TW,bear,tu_strategy,available,1,1,-0.45,0.96,-0.59,1,0.0,7446.91,3878344.43,6.1,1.19,246
0050.TW,bear,adaptive_tu_strategy,available,1,1,-1.14,2.42,-0.59,1,0.0,18800.39,9791230.2,6.1,3.01,246
0050.TW,bear,buy_and_hold,available,1,1,-23.8462,33.7888,-1.1289,1,0.0,32697.24,17596466.45,100.0,99.86,246
0050.TW,bear,sma_8_21,available,1,1,-4.7543,14.8474,-0.2873,5,20.0,177130.3,92093217.85,36.59,36.55,246
0050.TW,sideways,tu_strategy,available,2,2,-2.7416,1.98,-1.19,7,14.29,52889.68,27533290.7,19.31,3.87,492
0050.TW,sideways,adaptive_tu_strategy,available,2,2,-6.3705,6.37,-1.185,7,14.29,118689.47,61793170.54,19.31,8.46,492
0050.TW,sideways,buy_and_hold,available,2,2,-18.2388,20.9574,-0.5324,2,0.0,72412.76,38095111.06,100.0,99.98,492
0050.TW,sideways,sma_8_21,available,2,2,-28.4378,19.0772,-1.6084,18,22.22,650200.57,338397755.07,48.78,48.76,492
2330.TW,bull,tu_strategy,available,9,9,30.426,7.86,0.7478,40,60.0,594633.73,201567780.97,51.23,11.72,2077
2330.TW,bull,adaptive_tu_strategy,available,9,9,62.1294,18.03,0.9089,40,62.5,1105703.16,374808157.07,51.23,21.55,2077
2330.TW,bull,buy_and_hold,available,9,9,2946.2953,29.6449,1.7634,9,100.0,708558.98,220027918.43,100.0,98.67,2077
2330.TW,bull,sma_8_21,available,9,9,601.4552,26.6715,1.2636,59,54.24,3743237.01,1266031699.55,67.84,65.91,2077
2330.TW,bear,tu_strategy,available,1,1,-0.1,1.76,-0.08,1,0.0,27767.68,9484278.06,6.5,1.29,246
2330.TW,bear,adaptive_tu_strategy,available,1,1,-0.1,2.71,-0.04,1,0.0,38174.39,13036558.17,6.5,2.09,246
2330.TW,bear,buy_and_hold,available,1,1,-31.5105,44.311,-0.9774,1,0.0,44020.16,16642975.67,100.0,98.55,246
2330.TW,bear,sma_8_21,available,1,1,2.1437,13.0015,0.3848,5,20.0,268234.8,91456717.13,37.4,36.6,246
2330.TW,sideways,tu_strategy,available,2,2,-8.0369,7.28,-1.45,9,11.11,114466.94,39489620.87,23.58,4.62,492
2330.TW,sideways,adaptive_tu_strategy,available,2,2,-17.7115,18.17,-1.375,9,11.11,198747.22,68762960.41,23.58,10.47,492
2330.TW,sideways,buy_and_hold,available,2,2,-9.3507,23.1812,-0.0318,2,50.0,112889.38,39007180.98,100.0,99.68,492
2330.TW,sideways,sma_8_21,available,2,2,-29.1875,30.2589,-0.848,16,25.0,823200.16,282608703.17,53.86,53.39,492
