symbol,window,validation_start,training_start,training_end,selection_status,selection_reason,selected_profile_id,candidate_profile_id,selected,strategy_params,eligible,total_return_pct,max_drawdown_pct,total_trades,average_capital_utilization_pct
0056.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
0056.TW,2,2016-01-05,2014-01-02,2016-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,0.16,1.06,3.0,4.07
0056.TW,2,2016-01-05,2014-01-02,2016-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,0.27,1.85,3.0,7.11
0056.TW,3,2017-01-05,2014-12-19,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.16,0.86,5.0,5.48
0056.TW,3,2017-01-05,2014-12-19,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.79,1.51,5.0,9.56
0056.TW,4,2018-01-05,2015-12-21,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.83,1.66,8.0,8.73
0056.TW,4,2018-01-05,2015-12-21,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.19,2.9,8.0,15.23
0056.TW,5,2019-01-07,2016-12-16,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.55,3.61,9.0,7.38
0056.TW,5,2019-01-07,2016-12-16,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.73,6.24,9.0,12.9
0056.TW,6,2020-01-06,2017-12-08,2020-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,0.95,2.91,9.0,8.38
0056.TW,6,2020-01-06,2017-12-08,2020-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,1.62,5.05,9.0,14.59
0056.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,4.31,1.43,7.0,10.21
0056.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,7.62,2.49,7.0,17.81
0056.TW,8,2022-01-05,2019-12-12,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.74,3.1,8.0,8.56
0056.TW,8,2022-01-05,2019-12-12,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.02,5.3,8.0,14.91
0056.TW,9,2023-01-05,2020-12-15,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.45,4.31,7.0,5.02
0056.TW,9,2023-01-05,2020-12-15,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.54,7.38,7.0,8.74
0056.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,4.13,2.19,9.0,8.33
0056.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,7.26,3.2,9.0,14.18
0056.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,6.6,2.19,8.0,10.96
0056.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,11.8,3.51,8.0,18.78
0056.TW,12,2026-01-05,2023-12-06,2026-01-02,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.48,2.36,7.0,8.42
0056.TW,12,2026-01-05,2023-12-06,2026-01-02,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,4.41,4.1,7.0,14.76
006208.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
006208.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.22,2.48,4.0,4.02
006208.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-3.89,4.33,4.0,7.09
006208.TW,3,2017-01-05,2014-12-12,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,0.36,2.07,6.0,5.96
006208.TW,3,2017-01-05,2014-12-12,2017-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,0.62,3.63,6.0,10.47
006208.TW,4,2018-01-05,2015-12-16,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.72,3.7,9.0,10.52
006208.TW,4,2018-01-05,2015-12-16,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.65,5.75,9.0,18.07
006208.TW,5,2019-01-07,2016-12-16,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.7,6.91,12.0,8.76
006208.TW,5,2019-01-07,2016-12-16,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-4.08,11.21,12.0,15.07
006208.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.64,4.92,10.0,6.47
006208.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-4.63,8.54,10.0,11.37
006208.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,5.76,2.12,8.0,9.51
006208.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,10.27,3.25,8.0,15.71
006208.TW,8,2022-01-05,2019-12-12,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,6.37,3.03,10.0,9.85
006208.TW,8,2022-01-05,2019-12-12,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,11.03,5.64,10.0,16.17
006208.TW,9,2023-01-05,2020-12-15,2023-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.84,2.98,6.0,4.85
006208.TW,9,2023-01-05,2020-12-15,2023-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,2.83,5.52,6.0,8.26
006208.TW,10,2024-01-05,2021-12-09,2024-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.2,1.5,7.0,5.05
006208.TW,10,2024-01-05,2021-12-09,2024-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-0.37,2.62,7.0,8.86
006208.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,3.76,3.55,11.0,10.13
006208.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,7.32,5.39,11.0,17.63
006208.TW,12,2026-01-05,2023-12-06,2026-01-02,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,7.25,3.54,11.0,10.93
006208.TW,12,2026-01-05,2023-12-06,2026-01-02,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,13.75,5.37,11.0,19.04
2317.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
2317.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.47,3.47,4.0,3.71
2317.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-4.32,6.04,4.0,6.55
2317.TW,3,2017-01-05,2014-12-16,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-3.06,4.38,7.0,5.61
2317.TW,3,2017-01-05,2014-12-16,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-5.33,7.59,7.0,9.84
2317.TW,4,2018-01-05,2015-12-14,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,3.01,4.86,7.0,11.86
2317.TW,4,2018-01-05,2015-12-14,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,6.31,5.21,7.0,18.75
2317.TW,5,2019-01-07,2016-12-14,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,3.29,4.85,4.0,8.46
2317.TW,5,2019-01-07,2016-12-14,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,6.86,5.24,4.0,12.78
2317.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.5,2.1,3.0,1.81
2317.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-0.95,3.69,3.0,3.14
2317.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.67,2.32,5.0,3.17
2317.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,4.63,4.0,5.0,5.53
2317.TW,8,2022-01-05,2019-12-12,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,4.72,3.69,5.0,4.6
