symbol,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days,excess_vs_buy_hold_pct,excess_vs_sma_pct,excess_vs_legacy_pct
0056.TW,tu_strategy,available,12,12,20.9154,3.1,0.6317,43,53.49,356647.16,184659040.22,39.81,8.52,2821,-291.1118,-146.4029,
0056.TW,adaptive_tu_strategy,available,12,12,28.5087,5.31,0.6533,43,53.49,549075.47,284391565.11,39.81,12.68,2821,-283.5185,-138.8096,7.5933
0056.TW,buy_and_hold,available,12,12,312.0272,25.8198,1.1268,12,75.0,503150.26,256858475.18,100.0,99.92,2821,,,
0056.TW,sma_8_21,available,12,12,167.3183,14.4985,0.9255,69,47.83,2776207.86,1438520557.68,64.13,64.06,2821,,,
006208.TW,tu_strategy,available,12,12,15.32,6.8,0.1192,51,45.1,485852.89,251867084.85,39.52,8.96,2816,-674.1264,-218.9737,
006208.TW,adaptive_tu_strategy,available,12,12,22.1233,6.33,0.1925,51,45.1,663030.2,343687727.81,39.52,12.22,2816,-667.3231,-212.1704,6.8033
006208.TW,buy_and_hold,available,12,12,689.4464,33.6531,1.1182,12,75.0,523531.89,265208231.81,100.0,99.82,2816,,,
006208.TW,sma_8_21,available,12,12,234.2937,21.4203,0.7957,82,46.34,3265650.37,1691803618.03,63.32,63.11,2816,,,
2317.TW,tu_strategy,available,12,12,19.4861,15.19,0.0473,31,45.16,627151.59,213087730.53,24.3,7.04,2815,-242.3111,-133.55,
2317.TW,adaptive_tu_strategy,available,12,12,17.9686,15.19,0.0564,31,48.39,729787.25,248185344.3,24.3,8.03,2815,-243.8286,-135.0675,-1.5175
2317.TW,buy_and_hold,available,12,12,261.7972,42.9908,0.5104,12,75.0,777403.24,256462309.24,100.0,99.52,2815,,,
2317.TW,sma_8_21,available,12,12,153.0361,29.6606,0.3024,75,40.0,4644183.8,1578684984.35,55.28,55.05,2815,,,
2454.TW,tu_strategy,available,12,12,49.697,16.51,-0.0383,37,43.24,924578.92,313138813.92,30.55,11.78,2815,-914.1068,-461.3154,
2454.TW,adaptive_tu_strategy,available,12,12,52.944,17.2,-0.0167,37,43.24,1032285.04,349721799.5,30.55,13.13,2815,-910.8598,-458.0684,3.247
2454.TW,buy_and_hold,available,12,12,963.8038,51.5813,0.8262,12,66.67,859141.91,272589085.77,100.0,97.04,2815,,,
2454.TW,sma_8_21,available,12,12,511.0124,40.0956,0.5842,72,44.44,4455294.32,1505614837.37,56.16,54.47,2815,,,
2308.TW,tu_strategy,available,12,12,146.6992,15.02,0.5483,31,38.71,650411.71,216575902.56,25.75,9.12,2815,-724.1948,-0.2983,
2308.TW,adaptive_tu_strategy,available,12,12,132.8015,15.02,0.5358,31,38.71,779373.13,260896523.45,25.75,10.19,2815,-738.0925,-14.196,-13.8977
2308.TW,buy_and_hold,available,12,12,870.894,38.7576,0.7042,12,66.67,836952.42,269231744.32,100.0,99.07,2815,,,
2308.TW,sma_8_21,available,12,12,146.9975,34.1899,0.2603,79,27.85,4663514.37,1583241510.35,53.43,52.74,2815,,,
2881.TW,tu_strategy,available,12,12,0.3862,5.25,-0.525,49,28.57,692319.11,236257935.53,30.69,6.7,2815,-403.3469,-122.358,
