provider,official_exchange_source,provider_data_mutability,symbol,requested_start,requested_end_inclusive,actual_start,actual_end,row_count,fetched_at_local,library,library_version,interval,auto_adjust,actions,repair,end_parameter_semantics,currency_expected,exchange_timezone_expected,provider_payload_sha256,normalized_snapshot_sha256
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,0056.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3069,2026-08-01T16:24:16+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,b8c011e3f4560bdc863fe2ec0e4337e87f77f51ee630549ca8d931ca97c62436,8b2b28445a614333bd6625e3cd14b457fc0551642b738785720cf4ae04bd285e
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,006208.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:16+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,9e0750310b5c50beeb6bd919f429ae44b8abdea85f87620a0d2c598e61b0062f,a16fe85a99dbe6bc34f416290e38f4beb7bf6f24d46d107974e883198cecd04e
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2317.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:17+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,6a6c6b07f4f92e1b6513f8022043bf101efaab4e3ddae5752e879a2a6a9400ab,fb680dfb8f209168eb4052d69b894e40fc3e4c589bc4120659326b4201bd04bd
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2454.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:17+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,4dac10fd17dfe59776b2d84ed1f311ee7d02063e4a16f54f3e65f3bbd490a5a6,375c825fbabaa9a2d2ea1325d666b6ce92d85ee0386951576af446d4ada29a75
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2308.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:18+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,31b92e00d26ee926f9afeab29529993fd871920f154deaa3da03a258ed706cd8,96a8dc121872830bd406726fc5d2bf26ca1ab03b1cddeaed05b4f0437a1601f2
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2881.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:18+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,35a84a0376efacbda0ce9255732763301a81685b490b940b2351adb5697915f9,fde36d1c3943f34466d749600628c3dc36dfc8071cf2783ef13a0dc4a06abe8e
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2882.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:19+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,118321d05734524f354eebde430ebf5d558d2cedc39663c1d924f48e4b2ff721,00fb75b471208e4e912ae5890fa5a18443e764ac729d547d440c4c85ff0fc5eb
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1301.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:19+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,5ae7d81e1e15cb49553c681de46588e7f3a34fa9a77ab89cc47c20158fbd8e29,d9d164ee278b2863d320f7ed000a97cce5898b3ba5f3d07f68e2b21fd60c65ee
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2002.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:20+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,c776c23892e36555db1f097509bfe563ad22768a780c76904902c2ecfe2b43c5,c2003e8d6c1e0e2e902b146d4b35fdbd3717491812846c49c6a390ae45a1905e
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1101.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:20+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,ef8932b2d22e6be0cc86d8572916b677f19fe9d393cc0193767443ccb62b9178,1005660a5d4014afde59235346ec9624c1591429cf3cf4a3da294bba6f71f012
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2105.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:21+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,9374512942dc69e2213fb61b57d76f68666ed41cef62ad0886146486a34a3372,4110da12a2b249b5a0418581c39ef5c7c23d8c3a6050162d88e0754812805c86
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1216.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:21+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,1859066c9a9cc976714739b36f4d9a338e60cfb3147096d5d01391cf1ba99786,40cb05a1b95b4e6141e704e76565a5a10c30c98443ea005af630891c085f01c0
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2412.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:22+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,70a6354122a7d9fb97550647a61025a43fb7ea5536896fda22b6fba136905b70,51bd4136d3f4c7af24671d4dcb0b3914e572bdcd8bdbbfb4245e0af7032e743c
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2912.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T16:24:22+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,f76c17a22d26da6873284d6ac0d04edc691c0040d50099dd4bd98de7529bfe87,4edc79faf64fcff2078945f2b3718ca9df87459849cb1492e29b10e345d496f9
