symbol,selection_applied_to_validation,average_return_range_pct_points,positive_candidate_fraction,candidate_id,strategy_params,status,training_window_count,average_return_pct,median_return_pct,positive_window_fraction,worst_drawdown_pct,total_trades
0056.TW,False,1.0018,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.9418,1.83,0.8182,4.31,80
0056.TW,False,1.0018,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.4391,1.37,0.8182,3.25,80
0056.TW,False,1.0018,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,2.4409,2.29,0.8182,5.35,80
0056.TW,False,1.0018,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,1.9418,1.83,0.8182,4.31,80
0056.TW,False,1.0018,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,1.9618,1.83,0.8182,4.31,80
006208.TW,False,1.0646,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.7545,1.72,0.6364,6.91,94
006208.TW,False,1.0646,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.2409,0.95,0.6364,5.55,94
006208.TW,False,1.0646,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,2.3055,2.11,0.6364,8.25,94
006208.TW,False,1.0646,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,1.5218,0.69,0.6364,6.91,94
006208.TW,False,1.0646,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,1.7882,1.37,0.6364,6.48,94
