symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
0056.TW,bull,tu_strategy,available,9,9,24.3799,3.1,1.1422,33,63.64,280940.01,145277898.22,47.72,10.29,2083
0056.TW,bull,adaptive_tu_strategy,available,9,9,35.8037,5.31,1.1711,33,63.64,422922.58,218749616.95,47.72,15.36,2083
0056.TW,bull,buy_and_hold,available,9,9,457.0629,25.1271,1.7166,9,100.0,394455.72,199692967.91,100.0,99.92,2083
0056.TW,bull,sma_8_21,available,9,9,227.5392,13.708,1.486,50,56.0,2069905.69,1071285772.48,69.18,69.1,2083
0056.TW,bear,tu_strategy,available,1,1,-1.56,1.56,-2.19,4,0.0,30155.42,15697943.99,10.57,2.1,246
0056.TW,bear,adaptive_tu_strategy,available,1,1,-2.73,2.73,-2.19,4,0.0,52581.73,27372312.53,10.57,3.67,246
0056.TW,bear,buy_and_hold,available,1,1,-17.5453,25.8198,-1.1894,1,0.0,34217.98,18222410.53,100.0,99.84,246
0056.TW,bear,sma_8_21,available,1,1,-3.8411,9.2844,-0.4162,5,40.0,184354.48,95820443.57,43.5,43.44,246
0056.TW,sideways,tu_strategy,available,2,2,-1.2448,2.8,-0.255,6,33.33,45551.73,23683198.01,20.94,4.22,492
0056.TW,sideways,adaptive_tu_strategy,available,2,2,-2.7158,4.85,-0.255,6,33.33,73571.16,38269635.63,20.94,5.88,492
0056.TW,sideways,buy_and_hold,available,2,2,-10.2971,22.9204,-0.3692,2,0.0,74476.56,38943096.74,100.0,99.95,492
0056.TW,sideways,sma_8_21,available,2,2,-15.1257,14.4985,-0.9258,14,21.43,521947.69,271414341.63,53.05,53.01,492
006208.TW,bull,tu_strategy,available,9,9,21.0537,6.8,0.6267,42,50.0,419141.43,217104661.24,47.64,10.98,2080
006208.TW,bull,adaptive_tu_strategy,available,9,9,32.1688,6.33,0.7256,42,50.0,557897.67,288900013.14,47.64,14.8,2080
006208.TW,bull,buy_and_hold,available,9,9,1157.1512,27.4074,1.7422,9,100.0,418510.06,209582438.84,100.0,99.87,2080
006208.TW,bull,sma_8_21,available,9,9,362.9788,18.0689,1.3579,59,52.54,2431709.92,1258012124.96,69.66,69.43,2080
006208.TW,bear,tu_strategy,available,1,1,-0.56,0.92,-0.75,1,0.0,7267.78,3788100.26,6.1,1.16,246
006208.TW,bear,adaptive_tu_strategy,available,1,1,-1.01,1.66,-0.75,1,0.0,13137.9,6847719.7,6.1,2.1,246
006208.TW,bear,buy_and_hold,available,1,1,-23.8985,33.6531,-1.208,1,0.0,32545.0,17518781.09,100.0,99.42,246
006208.TW,bear,sma_8_21,available,1,1,-5.2914,14.725,-0.4104,5,20.0,176559.92,91811016.96,36.59,36.43,246
006208.TW,sideways,tu_strategy,available,2,2,-4.2,3.33,-1.73,8,25.0,59443.68,30974323.35,21.84,4.33,490
006208.TW,sideways,adaptive_tu_strategy,available,2,2,-6.6577,5.81,-1.735,8,25.0,91994.63,47939994.97,21.84,6.33,490
006208.TW,sideways,buy_and_hold,available,2,2,-17.4833,20.7049,-0.5268,2,0.0,72476.83,38107011.88,100.0,99.8,490
006208.TW,sideways,sma_8_21,available,2,2,-23.7609,21.4203,-1.1311,18,33.33,657380.53,341980476.11,49.8,49.7,490
2317.TW,bull,tu_strategy,available,9,9,22.5112,15.19,0.23,26,50.0,570481.62,193615915.91,28.98,8.76,2077
2317.TW,bull,adaptive_tu_strategy,available,9,9,20.6546,15.19,0.24,26,53.85,655196.96,222609083.09,28.98,9.82,2077
2317.TW,bull,buy_and_hold,available,9,9,529.3528,40.4118,0.9113,9,100.0,621597.22,201016874.06,100.0,99.49,2077
2317.TW,bull,sma_8_21,available,9,9,320.5282,22.9047,0.7966,53,47.17,3466385.02,1174332596.64,59.65,59.38,2077
