symbol,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days,excess_vs_buy_hold_pct,excess_vs_sma_pct,excess_vs_legacy_pct
0056.TW,tu_strategy,available,12,12,20.6603,3.1,0.6142,42,52.38,348817.35,180598909.87,39.87,8.54,2809,-291.3669,-153.1651,
0056.TW,adaptive_tu_strategy,available,12,12,28.0335,5.31,0.6383,42,52.38,535003.14,277094592.75,39.87,12.7,2809,-283.9937,-145.7919,7.3732
0056.TW,buy_and_hold,available,12,12,312.0272,25.8198,1.1307,12,75.0,503150.24,256858472.19,100.0,99.92,2809,,,
0056.TW,sma_8_21,available,12,12,173.8254,14.4986,0.9517,68,48.53,2733730.91,1416405506.91,64.15,64.08,2809,,,
006208.TW,tu_strategy,available,11,11,15.6015,5.16,0.2082,46,43.48,409042.64,211978334.05,37.67,8.04,2498,-520.7727,-242.4816,
006208.TW,adaptive_tu_strategy,available,11,11,25.779,5.42,0.2227,46,43.48,500683.4,259318162.12,37.67,10.22,2498,-510.5952,-232.3041,10.1775
006208.TW,buy_and_hold,available,11,11,536.3742,29.8402,1.0716,11,72.73,478469.7,242478206.69,100.0,99.72,2498,,,
006208.TW,sma_8_21,available,11,11,258.0831,16.2555,0.856,73,47.95,2938823.43,1521807376.42,62.05,61.85,2498,,,
2317.TW,tu_strategy,available,12,12,19.3156,15.19,0.0336,31,45.16,627266.86,213133933.29,24.25,7.04,2800,-242.4816,-137.4786,
2317.TW,adaptive_tu_strategy,available,12,12,17.8003,15.19,0.0427,31,48.39,729902.53,248231546.91,24.25,8.04,2800,-243.9969,-138.9939,-1.5153
2317.TW,buy_and_hold,available,12,12,261.7972,42.9908,0.5095,12,75.0,777403.24,256462309.3,100.0,99.52,2800,,,
2317.TW,sma_8_21,available,12,12,156.7942,29.6607,0.3138,75,40.0,4648083.39,1579936955.51,55.39,55.17,2800,,,
2454.TW,tu_strategy,available,12,12,50.1067,16.51,-0.0083,37,43.24,925430.07,313415575.79,30.67,11.83,2807,-913.6971,-448.0898,
2454.TW,adaptive_tu_strategy,available,12,12,53.3626,17.2,0.0133,37,43.24,1033136.19,349998562.24,30.67,13.19,2807,-910.4412,-444.8339,3.2559
2454.TW,buy_and_hold,available,12,12,963.8038,51.5813,0.8267,12,66.67,859141.93,272589090.72,100.0,97.04,2807,,,
2454.TW,sma_8_21,available,12,12,498.1965,39.5733,0.5832,72,44.44,4451583.44,1504559402.08,56.18,54.52,2807,,,
