provider,official_exchange_source,provider_data_mutability,symbol,requested_start,requested_end_inclusive,actual_start,actual_end,row_count,fetched_at_local,library,library_version,interval,auto_adjust,actions,repair,end_parameter_semantics,currency_expected,exchange_timezone_expected,provider_payload_sha256,zero_volume_rows_removed,zero_volume_dates_removed,normalized_snapshot_sha256,snapshot_overrides
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,0056.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3069,2026-08-01T17:00:11+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,034e698b38361ba899928711b16c110aef830ea05c9a4c77c29bff5f02a6a061,13,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-01-30', '2016-06-04', '2016-07-08', '2016-09-10', '2016-09-27', '2016-09-28', '2017-02-18', '2017-06-03', '2024-01-15', '2026-07-10']",0e8dcad8eb1203fa90715637bffb3e914c0f404e2862b7188f12854dcaa251b8,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,006208.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:12+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,339515befd227b3bfef3f8117a3a5282818819993531f75c59e39d6b66b90763,226,"['2014-02-18', '2014-02-19', '2014-03-03', '2014-03-14', '2014-03-18', '2014-04-29', '2014-05-05', '2014-05-13', '2014-06-03', '2014-06-05', '2014-06-11', '2014-06-12', '2014-06-24', '2014-07-09', '2014-07-14', '2014-07-22', '2014-07-24', '2014-07-29', '2014-07-30', '2014-08-04', '2014-08-06', '2014-08-07', '2014-08-08', '2014-08-14', '2014-08-18', '2014-08-20', '2014-08-25', '2014-09-04', '2014-09-11', '2014-09-16', '2014-09-18', '2014-10-01', '2014-10-02', '2014-10-14', '2014-10-23', '2014-11-11', '2014-11-13', '2014-12-04', '2014-12-05', '2014-12-11', '2014-12-25', '2014-12-26', '2014-12-30', '2015-01-15', '2015-01-26', '2015-02-09', '2015-03-13', '2015-03-20', '2015-03-25', '2015-03-30', '2015-03-31', '2015-04-07', '2015-04-08', '2015-04-14', '2015-04-20', '2015-05-04', '2015-05-06', '2015-05-18', '2015-05-20', '2015-06-02', '2015-06-12', '2015-06-15', '2015-06-18', '2015-06-22', '2015-07-15', '2015-08-07', '2015-09-18', '2015-11-12', '2015-11-24', '2015-12-03', '2015-12-21', '2015-12-22', '2015-12-29', '2016-01-04', '2016-01-22', '2016-01-27', '2016-01-30', '2016-02-18', '2016-02-23', '2016-02-24', '2016-03-08', '2016-03-09', '2016-03-10', '2016-03-18', '2016-03-23', '2016-03-24', '2016-03-30', '2016-04-08', '2016-04-12', '2016-04-14', '2016-04-15', '2016-04-18', '2016-04-27', '2016-05-10', '2016-05-16', '2016-05-24', '2016-05-27', '2016-05-31', '2016-06-04', '2016-06-06', '2016-06-14', '2016-06-16', '2016-06-17', '2016-06-20', '2016-06-21', '2016-06-22', '2016-06-23', '2016-06-24', '2016-06-27', '2016-06-28', '2016-06-29', '2016-06-30', '2016-07-01', '2016-07-04', '2016-07-05', '2016-07-06', '2016-07-07', '2016-07-11', '2016-07-12', '2016-07-13', '2016-07-14', '2016-07-15', '2016-07-19', '2016-08-03', '2016-08-11', '2016-08-17', '2016-08-31', '2016-09-02', '2016-09-08', '2016-09-09', '2016-09-10', '2016-09-13', '2016-09-14', '2016-09-22', '2016-09-23', '2016-09-26', '2016-09-30', '2016-10-03', '2016-10-04', '2016-10-06', '2016-10-14', '2016-10-18', '2016-10-20', '2016-10-31', '2016-11-01', '2016-11-02', '2016-11-04', '2016-11-14', '2016-11-16', '2016-11-17', '2016-11-21', '2016-11-22', '2016-11-23', '2016-11-24', '2016-11-25', '2016-11-29', '2016-12-01', '2016-12-02', '2016-12-05', '2016-12-07', '2016-12-15', '2016-12-16', '2016-12-20', '2016-12-21', '2016-12-22', '2016-12-26', '2016-12-29', '2017-01-13', '2017-01-17', '2017-01-18', '2017-01-19', '2017-02-18', '2017-03-28', '2017-04-10', '2017-04-12', '2017-04-14', '2017-04-28', '2017-05-02', '2017-05-09', '2017-05-12', '2017-05-19', '2017-05-22', '2017-05-31', '2017-06-03', '2017-06-09', '2017-06-12', '2017-06-13', '2017-06-15', '2017-06-22', '2017-07-10', '2017-07-11', '2017-07-25', '2017-08-01', '2017-08-21', '2017-08-31', '2017-09-04', '2017-10-03', '2017-10-18', '2017-10-25', '2017-11-02', '2017-11-14', '2017-12-11', '2017-12-13', '2017-12-20', '2017-12-25', '2017-12-28', '2018-03-02', '2018-03-08', '2018-03-09', '2018-03-15', '2018-03-22', '2018-04-12', '2018-07-09', '2018-08-20', '2018-10-31', '2018-11-09', '2018-11-13', '2018-11-19', '2018-11-26', '2018-11-30', '2018-12-04', '2018-12-07', '2018-12-11', '2018-12-19', '2024-01-15', '2026-07-10']",ec082ee72567c1517ff742c0934d758f635948ef53dae4526597fae69b7614c7,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2317.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:12+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,b7bce767a8d788e7bb3611f5030c5d8701801eea03039645a29cb2336a78b387,16,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-03-30', '2016-07-08', '2016-09-27', '2016-09-28', '2018-10-18', '2018-10-19', '2018-10-22', '2018-10-23', '2018-10-24', '2018-10-25', '2021-08-17', '2025-07-30', '2026-07-10']",55007d6d802357e503596a303e199b1af7e8d5410235a286cf8ce391044d9a9b,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2454.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:13+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,aa74d96e822167000fd8d8a103608f40d810f8df9f6a74339eb9ca571acd3493,9,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-05-13', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",2238b55a362a33b309fa5071858d3d78fe982ece5e90f57fd6ffcbc2e6183923,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2308.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:13+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,1a5ed79197db9067773d586c96a39ded96243fda80df06b14e5acd7182234947,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",f04457e7a255d9ec735fa050cf0a66aa5c715aa67b8d6298128187a435414b78,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2881.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:13+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,c039c6ac658f885d0229e36dee19d8a994cae796d3dbb8217f1ae7dc53d23ba2,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",15cf585e70bf8ba530d164a2ecf920aedae2ae49aa6226e9d8dc4cd752b69a02,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2882.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:14+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,228553ae025a361a24ae3f599626f71ed0488a31c2e1864d2f38ddf0bb3944cf,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",a23a037b73b9fd214addc57c4006ffce2cb8bae6c83f3183ce901aca1bfc8d1b,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1301.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:14+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,8c92298d776e170541a5d821c321d2bcabb672db8e94cd5ccaeb04fd90df8115,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",747850b9c68ef956ff2bd0d5e5532c085370c77a1da4f2e962a6d228949bcec4,"[{'date': '2025-08-01', 'mode': 'insert_missing_adjusted_ohlcv', 'source_url': 'https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20250801&stockNo=1301', 'adjustment_factor': 0.9906014803565542, 'factor_derivation': 'yfinance adjusted close on 2025-07-31 (42.24915338039304) divided by TWSE raw close on 2025-07-31 (42.65); the same factor is independently consistent with 2025-08-04 adjusted/raw closes.', 'factor_anchors': [{'date': '2025-07-31', 'official_raw_close': 42.65}, {'date': '2025-08-04', 'official_raw_close': 37.85}], 'raw_ohlcv': {'open': 41.8, 'high': 42.25, 'low': 40.6, 'close': 40.7, 'volume': 50445289}, 'adjusted_row_sha256': '81a96f142eb5ef965ecf11562e40d5366a273741e72c88958ad63b81b70c5b09'}]"
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2002.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:14+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,44e6c9123829ba85869e57819680b1dc9fbf58fbc9fb074c21d95ebcc01afe50,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",0cabf9b3ea36b8bbc0b9045d5d65ff8b51f42afeee91d6e3bc42056b966b8cd4,
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1101.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T17:00:15+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,d2b8e5f2b063a2569ac162568fdb247b7184de7116e48c66ec3d3aabb38a2014,11,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2017-04-19', '2017-04-20', '2021-08-17', '2025-08-13', '2026-07-10']",3a50c6a9815f54025bfe0131bf1acbc59eb8aeae0018416ee17efc6ac545dbf0,
