symbol,selection_applied_to_validation,average_return_range_pct_points,positive_candidate_fraction,candidate_id,strategy_params,status,training_window_count,average_return_pct,median_return_pct,positive_window_fraction,worst_drawdown_pct,total_trades
0056.TW,False,0.9772,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.8982,1.74,0.8182,4.31,79
0056.TW,False,0.9772,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,1.4055,1.3,0.8182,3.25,79
0056.TW,False,0.9772,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,2.3827,2.17,0.8182,5.35,79
0056.TW,False,0.9772,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,1.8982,1.74,0.8182,4.31,79
0056.TW,False,0.9772,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,1.9182,1.74,0.8182,4.31,79
006208.TW,False,0.536,1.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,10,0.842,-0.93,0.4,6.62,86
006208.TW,False,0.536,1.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,10,0.581,-0.695,0.4,5.34,86
006208.TW,False,0.536,1.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,10,1.117,-1.18,0.4,7.89,86
006208.TW,False,0.536,1.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,10,0.626,-1.045,0.4,6.62,86
006208.TW,False,0.536,1.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,10,0.872,-0.9,0.4,6.18,86
