symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
0056.TW,bull,tu_strategy,available,9,9,24.1175,3.1,1.1178,32,62.5,273110.21,141217768.58,47.8,10.32,2073
0056.TW,bull,adaptive_tu_strategy,available,9,9,35.3014,5.31,1.15,32,62.5,408850.25,211452645.81,47.8,15.38,2073
0056.TW,bull,buy_and_hold,available,9,9,457.0634,25.1271,1.7221,9,100.0,394455.71,199692968.56,100.0,99.92,2073
0056.TW,bull,sma_8_21,available,9,9,227.6683,13.708,1.4874,49,57.14,2024840.18,1047884968.09,69.13,69.05,2073
0056.TW,bear,tu_strategy,available,1,1,-1.56,1.56,-2.19,4,0.0,30155.42,15697944.67,10.57,2.1,246
0056.TW,bear,adaptive_tu_strategy,available,1,1,-2.73,2.73,-2.19,4,0.0,52581.73,27372313.73,10.57,3.67,246
0056.TW,bear,buy_and_hold,available,1,1,-17.5453,25.8198,-1.1894,1,0.0,34217.98,18222409.66,100.0,99.84,246
0056.TW,bear,sma_8_21,available,1,1,-3.8411,9.2844,-0.4162,5,40.0,184354.48,95820449.12,43.5,43.44,246
0056.TW,sideways,tu_strategy,available,2,2,-1.2448,2.8,-0.25,6,33.33,45551.72,23683196.62,21.02,4.25,490
0056.TW,sideways,adaptive_tu_strategy,available,2,2,-2.7158,4.85,-0.25,6,33.33,73571.16,38269633.21,21.02,5.9,490
0056.TW,sideways,buy_and_hold,available,2,2,-10.2972,22.9204,-0.3704,2,0.0,74476.55,38943093.97,100.0,99.95,490
0056.TW,sideways,sma_8_21,available,2,2,-13.094,14.4986,-0.7746,14,21.43,524536.25,272700089.7,53.46,53.44,490
006208.TW,bull,tu_strategy,available,5,5,19.7196,3.58,1.126,25,56.0,239188.67,123697197.41,50.0,10.93,1122
006208.TW,bull,adaptive_tu_strategy,available,5,5,30.129,5.42,1.16,25,56.0,302215.99,156182959.4,50.0,14.59,1122
006208.TW,bull,buy_and_hold,available,5,5,466.6694,24.4388,1.9912,5,100.0,243946.55,121131672.99,100.0,99.76,1122
006208.TW,bull,sma_8_21,available,5,5,253.8688,16.2555,1.8344,32,56.25,1388973.1,717160059.88,70.5,70.22,1122
006208.TW,sideways,tu_strategy,available,6,6,-3.4398,5.16,-0.5567,21,28.57,169853.97,88281136.64,27.62,5.69,1376
006208.TW,sideways,adaptive_tu_strategy,available,6,6,-3.3428,5.16,-0.5583,21,28.57,198467.41,103135202.72,27.62,6.65,1376
006208.TW,sideways,buy_and_hold,available,6,6,12.3008,29.8402,0.3052,6,50.0,234523.15,121346533.7,100.0,99.7,1376
006208.TW,sideways,sma_8_21,available,6,6,1.1909,13.8356,0.0407,41,41.46,1549850.33,804647316.54,55.16,55.02,1376
