provider,official_exchange_source,provider_data_mutability,symbol,requested_start,requested_end_inclusive,actual_start,actual_end,row_count,fetched_at_local,library,library_version,interval,auto_adjust,actions,repair,end_parameter_semantics,currency_expected,exchange_timezone_expected,provider_payload_sha256,zero_volume_rows_removed,zero_volume_dates_removed,normalized_snapshot_sha256,snapshot_overrides,parent_provider,official_gap_source,adjustment_contract,factor_cluster_relative_tolerance,minimum_factor_anchors,parent_normalized_snapshot_sha256,official_gap_rows_inserted,official_gap_rows_unresolved,official_gap_adjustment_ledger,official_gap_adjustment_records_sha256,official_gap_unresolved_reasons,official_integrity_status,official_explained_no_bar_dates,benchmark_provider_non_market_dates,official_reference_exempt_dates,zero_volume_reconciliation_status,zero_volume_reconciliation_ledger,zero_volume_reconciliation_records_sha256
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,0056.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3068.0,2026-08-01T17:00:11+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,034e698b38361ba899928711b16c110aef830ea05c9a4c77c29bff5f02a6a061,13.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-01-30', '2016-06-04', '2016-07-08', '2016-09-10', '2016-09-27', '2016-09-28', '2017-02-18', '2017-06-03', '2024-01-15', '2026-07-10']",b9bb622559af173a08d176cab1ee0f950f8e3c72070ed42f5b342972f3ccac77,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,0e8dcad8eb1203fa90715637bffb3e914c0f404e2862b7188f12854dcaa251b8,12.0,0.0,official_gap_adjustments.csv,dbe75d6e0fd827d76993f9dd157b9e35ee7c274c94fcc9d46325134ea3487683,[],available,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,fc81e431be47a2c1ff38e260e5cf04b1ea81c2a6fe7edd663e194b251ddfd6f4
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,006208.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,2873.0,2026-08-01T17:00:12+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,339515befd227b3bfef3f8117a3a5282818819993531f75c59e39d6b66b90763,226.0,"['2014-02-18', '2014-02-19', '2014-03-03', '2014-03-14', '2014-03-18', '2014-04-29', '2014-05-05', '2014-05-13', '2014-06-03', '2014-06-05', '2014-06-11', '2014-06-12', '2014-06-24', '2014-07-09', '2014-07-14', '2014-07-22', '2014-07-24', '2014-07-29', '2014-07-30', '2014-08-04', '2014-08-06', '2014-08-07', '2014-08-08', '2014-08-14', '2014-08-18', '2014-08-20', '2014-08-25', '2014-09-04', '2014-09-11', '2014-09-16', '2014-09-18', '2014-10-01', '2014-10-02', '2014-10-14', '2014-10-23', '2014-11-11', '2014-11-13', '2014-12-04', '2014-12-05', '2014-12-11', '2014-12-25', '2014-12-26', '2014-12-30', '2015-01-15', '2015-01-26', '2015-02-09', '2015-03-13', '2015-03-20', '2015-03-25', '2015-03-30', '2015-03-31', '2015-04-07', '2015-04-08', '2015-04-14', '2015-04-20', '2015-05-04', '2015-05-06', '2015-05-18', '2015-05-20', '2015-06-02', '2015-06-12', '2015-06-15', '2015-06-18', '2015-06-22', '2015-07-15', '2015-08-07', '2015-09-18', '2015-11-12', '2015-11-24', '2015-12-03', '2015-12-21', '2015-12-22', '2015-12-29', '2016-01-04', '2016-01-22', '2016-01-27', '2016-01-30', '2016-02-18', '2016-02-23', '2016-02-24', '2016-03-08', '2016-03-09', '2016-03-10', '2016-03-18', '2016-03-23', '2016-03-24', '2016-03-30', '2016-04-08', '2016-04-12', '2016-04-14', '2016-04-15', '2016-04-18', '2016-04-27', '2016-05-10', '2016-05-16', '2016-05-24', '2016-05-27', '2016-05-31', '2016-06-04', '2016-06-06', '2016-06-14', '2016-06-16', '2016-06-17', '2016-06-20', '2016-06-21', '2016-06-22', '2016-06-23', '2016-06-24', '2016-06-27', '2016-06-28', '2016-06-29', '2016-06-30', '2016-07-01', '2016-07-04', '2016-07-05', '2016-07-06', '2016-07-07', '2016-07-11', '2016-07-12', '2016-07-13', '2016-07-14', '2016-07-15', '2016-07-19', '2016-08-03', '2016-08-11', '2016-08-17', '2016-08-31', '2016-09-02', '2016-09-08', '2016-09-09', '2016-09-10', '2016-09-13', '2016-09-14', '2016-09-22', '2016-09-23', '2016-09-26', '2016-09-30', '2016-10-03', '2016-10-04', '2016-10-06', '2016-10-14', '2016-10-18', '2016-10-20', '2016-10-31', '2016-11-01', '2016-11-02', '2016-11-04', '2016-11-14', '2016-11-16', '2016-11-17', '2016-11-21', '2016-11-22', '2016-11-23', '2016-11-24', '2016-11-25', '2016-11-29', '2016-12-01', '2016-12-02', '2016-12-05', '2016-12-07', '2016-12-15', '2016-12-16', '2016-12-20', '2016-12-21', '2016-12-22', '2016-12-26', '2016-12-29', '2017-01-13', '2017-01-17', '2017-01-18', '2017-01-19', '2017-02-18', '2017-03-28', '2017-04-10', '2017-04-12', '2017-04-14', '2017-04-28', '2017-05-02', '2017-05-09', '2017-05-12', '2017-05-19', '2017-05-22', '2017-05-31', '2017-06-03', '2017-06-09', '2017-06-12', '2017-06-13', '2017-06-15', '2017-06-22', '2017-07-10', '2017-07-11', '2017-07-25', '2017-08-01', '2017-08-21', '2017-08-31', '2017-09-04', '2017-10-03', '2017-10-18', '2017-10-25', '2017-11-02', '2017-11-14', '2017-12-11', '2017-12-13', '2017-12-20', '2017-12-25', '2017-12-28', '2018-03-02', '2018-03-08', '2018-03-09', '2018-03-15', '2018-03-22', '2018-04-12', '2018-07-09', '2018-08-20', '2018-10-31', '2018-11-09', '2018-11-13', '2018-11-19', '2018-11-26', '2018-11-30', '2018-12-04', '2018-12-07', '2018-12-11', '2018-12-19', '2024-01-15', '2026-07-10']",2c70578185990c1ee13cfbe89bc440a1156cc033953fbbf2f4d349ea6d3277aa,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,ec082ee72567c1517ff742c0934d758f635948ef53dae4526597fae69b7614c7,36.0,33.0,official_gap_adjustments.csv,3c37921c580700e3e1dc196b5bbdad4720ef6aa7a2ec8e2e3047b147b5e3a82a,"[{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2014-03-14"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-03-28"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-04-10"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-05-09"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-05-12"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-05-31"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-06-09"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-06-12"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-06-15"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-06-22"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-07-10"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-07-11"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-07-25"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-08-21"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-08-31"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-09-04"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-10-03"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-10-18"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-10-25"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-11-02"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-11-14"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-12-11"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-12-13"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-12-20"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2017-12-25"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-02"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-08"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-09"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-15"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-22"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-03-31"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-04-12"",""reason"":""official_raw_price_invalid""},{""status"":""insufficient_data"",""symbol"":""006208.TW"",""date"":""2018-11-30"",""reason"":""fewer_than_two_same_segment_anchors"",""candidate_anchor_count"":1,""action_segment"":""2018-11-29""}]",quality_warning,"[""2014-02-18"",""2014-02-19"",""2014-03-03"",""2014-03-18"",""2014-04-29"",""2014-05-05"",""2014-05-13"",""2014-06-03"",""2014-06-05"",""2014-06-11"",""2014-06-12"",""2014-06-24"",""2014-07-09"",""2014-07-14"",""2014-07-22"",""2014-07-24"",""2014-07-29"",""2014-07-30"",""2014-08-04"",""2014-08-06"",""2014-08-07"",""2014-08-08"",""2014-08-14"",""2014-08-18"",""2014-08-20"",""2014-08-25"",""2014-09-04"",""2014-09-11"",""2014-09-16"",""2014-09-18"",""2014-10-01"",""2014-10-02"",""2014-10-14"",""2014-10-23"",""2014-11-11"",""2014-11-13"",""2014-12-04"",""2014-12-05"",""2014-12-11"",""2014-12-25"",""2014-12-26"",""2014-12-30"",""2015-01-15"",""2015-01-26"",""2015-02-09"",""2015-03-13"",""2015-03-20"",""2015-03-25"",""2015-03-30"",""2015-03-31"",""2015-04-07"",""2015-04-08"",""2015-04-14"",""2015-05-04"",""2015-05-06"",""2015-05-18"",""2015-05-20"",""2015-06-02"",""2015-06-12"",""2015-06-15"",""2015-06-18"",""2015-06-22"",""2015-07-15"",""2015-08-07"",""2015-09-18"",""2015-11-12"",""2015-11-24"",""2015-12-03"",""2015-12-21"",""2015-12-22"",""2015-12-29"",""2016-01-04"",""2016-01-22"",""2016-01-27"",""2016-02-18"",""2016-02-23"",""2016-02-24"",""2016-03-08"",""2016-03-09"",""2016-03-10"",""2016-03-18"",""2016-03-23"",""2016-03-24"",""2016-03-30"",""2016-04-08"",""2016-04-14"",""2016-04-15"",""2016-04-18"",""2016-04-27"",""2016-05-10"",""2016-05-16"",""2016-05-24"",""2016-05-31"",""2016-06-04"",""2016-06-06"",""2016-06-14"",""2016-06-16"",""2016-06-17"",""2016-06-20"",""2016-06-21"",""2016-06-22"",""2016-06-28"",""2016-06-29"",""2016-07-05"",""2016-07-19"",""2016-08-03"",""2016-08-11"",""2016-08-17"",""2016-08-31"",""2016-09-02"",""2016-09-08"",""2016-09-09"",""2016-09-10"",""2016-09-13"",""2016-09-14"",""2016-09-22"",""2016-09-23"",""2016-09-26"",""2016-09-30"",""2016-10-03"",""2016-10-04"",""2016-10-06"",""2016-10-14"",""2016-10-18"",""2016-10-20"",""2016-10-31"",""2016-11-01"",""2016-11-02"",""2016-11-04"",""2016-11-14"",""2016-11-16"",""2016-11-17"",""2016-11-21"",""2016-11-22"",""2016-11-23"",""2016-11-24"",""2016-11-25"",""2016-11-29"",""2016-12-01"",""2016-12-02"",""2016-12-05"",""2016-12-07"",""2016-12-15"",""2016-12-16"",""2016-12-20"",""2016-12-21"",""2016-12-22"",""2016-12-26"",""2016-12-29"",""2017-01-13"",""2017-01-17"",""2017-01-18"",""2017-01-19"",""2017-04-12"",""2017-04-14"",""2017-04-28"",""2017-05-02"",""2017-05-19"",""2017-05-22"",""2017-06-13"",""2017-08-01"",""2017-12-28""]","[""2014-07-23"",""2016-07-08""]","[""2014-02-18"",""2014-02-19"",""2014-03-03"",""2014-03-18"",""2014-04-29"",""2014-05-05"",""2014-05-13"",""2014-06-03"",""2014-06-05"",""2014-06-11"",""2014-06-12"",""2014-06-24"",""2014-07-09"",""2014-07-14"",""2014-07-22"",""2014-07-23"",""2014-07-24"",""2014-07-29"",""2014-07-30"",""2014-08-04"",""2014-08-06"",""2014-08-07"",""2014-08-08"",""2014-08-14"",""2014-08-18"",""2014-08-20"",""2014-08-25"",""2014-09-04"",""2014-09-11"",""2014-09-16"",""2014-09-18"",""2014-10-01"",""2014-10-02"",""2014-10-14"",""2014-10-23"",""2014-11-11"",""2014-11-13"",""2014-12-04"",""2014-12-05"",""2014-12-11"",""2014-12-25"",""2014-12-26"",""2014-12-30"",""2015-01-15"",""2015-01-26"",""2015-02-09"",""2015-03-13"",""2015-03-20"",""2015-03-25"",""2015-03-30"",""2015-03-31"",""2015-04-07"",""2015-04-08"",""2015-04-14"",""2015-05-04"",""2015-05-06"",""2015-05-18"",""2015-05-20"",""2015-06-02"",""2015-06-12"",""2015-06-15"",""2015-06-18"",""2015-06-22"",""2015-07-15"",""2015-08-07"",""2015-09-18"",""2015-11-12"",""2015-11-24"",""2015-12-03"",""2015-12-21"",""2015-12-22"",""2015-12-29"",""2016-01-04"",""2016-01-22"",""2016-01-27"",""2016-02-18"",""2016-02-23"",""2016-02-24"",""2016-03-08"",""2016-03-09"",""2016-03-10"",""2016-03-18"",""2016-03-23"",""2016-03-24"",""2016-03-30"",""2016-04-08"",""2016-04-14"",""2016-04-15"",""2016-04-18"",""2016-04-27"",""2016-05-10"",""2016-05-16"",""2016-05-24"",""2016-05-31"",""2016-06-04"",""2016-06-06"",""2016-06-14"",""2016-06-16"",""2016-06-17"",""2016-06-20"",""2016-06-21"",""2016-06-22"",""2016-06-28"",""2016-06-29"",""2016-07-05"",""2016-07-08"",""2016-07-19"",""2016-08-03"",""2016-08-11"",""2016-08-17"",""2016-08-31"",""2016-09-02"",""2016-09-08"",""2016-09-09"",""2016-09-10"",""2016-09-13"",""2016-09-14"",""2016-09-22"",""2016-09-23"",""2016-09-26"",""2016-09-30"",""2016-10-03"",""2016-10-04"",""2016-10-06"",""2016-10-14"",""2016-10-18"",""2016-10-20"",""2016-10-31"",""2016-11-01"",""2016-11-02"",""2016-11-04"",""2016-11-14"",""2016-11-16"",""2016-11-17"",""2016-11-21"",""2016-11-22"",""2016-11-23"",""2016-11-24"",""2016-11-25"",""2016-11-29"",""2016-12-01"",""2016-12-02"",""2016-12-05"",""2016-12-07"",""2016-12-15"",""2016-12-16"",""2016-12-20"",""2016-12-21"",""2016-12-22"",""2016-12-26"",""2016-12-29"",""2017-01-13"",""2017-01-17"",""2017-01-18"",""2017-01-19"",""2017-04-12"",""2017-04-14"",""2017-04-28"",""2017-05-02"",""2017-05-19"",""2017-05-22"",""2017-06-13"",""2017-08-01"",""2017-12-28""]",quality_warning,zero_volume_reconciliation.csv,a02c4ae28dd0d3082819c23d5d2e788c6ef65b421941dfc1f494609e36eea26a
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1101.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3065.0,2026-08-01T17:00:15+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,d2b8e5f2b063a2569ac162568fdb247b7184de7116e48c66ec3d3aabb38a2014,11.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2017-04-19', '2017-04-20', '2021-08-17', '2025-08-13', '2026-07-10']",3263a59f6165f2e9535fa3896f324cbd00e6229b8422440382c06f6e7312d2d3,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,3a50c6a9815f54025bfe0131bf1acbc59eb8aeae0018416ee17efc6ac545dbf0,13.0,0.0,official_gap_adjustments.csv,2ac9a05f2693c8574b0b194e8c481974bc8b5189f7c6a445858dcfcc14a4f119,[],available,"[""2017-04-19"",""2017-04-20"",""2025-08-13""]","[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08"",""2017-04-19"",""2017-04-20"",""2025-08-13""]",available,zero_volume_reconciliation.csv,4744d7d627a0f2bb90823b84aeae8d5183e2fb461d808cbc38ea5e047e08be12
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1216.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3067.0,2026-08-01T17:00:15+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,6421756804b8aefcb405fea7a34a80f6ce4a01238d4548081593639dfd30189c,9.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2017-07-27', '2021-08-17', '2026-07-10']",e514bed47a41ac07f316a295364941a04e535c64c541c34fc357eb4db673c4f3,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,b5a250b7f7bb8eb096cca10f52ffebe4599e388178208391cb26e3260a24b1ce,13.0,0.0,official_gap_adjustments.csv,67d047a4e9b2becda2534c18900d5849a8afe55bc74ce5f5d1eb2bf47e39c8fd,[],available,"[""2017-07-27""]","[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08"",""2017-07-27""]",available,zero_volume_reconciliation.csv,ba122d06b1aed3c209b4cebc163971f2986212a4fb0861469664b9bd54d66985
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,1301.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3068.0,2026-08-01T17:00:14+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,8c92298d776e170541a5d821c321d2bcabb672db8e94cd5ccaeb04fd90df8115,8.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",d1dcceb3580c1bd347139c46ea704b894b1559bcb85c5e7eceb6679754413fe5,"[{'date': '2025-08-01', 'mode': 'insert_missing_adjusted_ohlcv', 'source_url': 'https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20250801&stockNo=1301', 'adjustment_factor': 0.9906014803565542, 'factor_derivation': 'yfinance adjusted close on 2025-07-31 (42.24915338039304) divided by TWSE raw close on 2025-07-31 (42.65); the same factor is independently consistent with 2025-08-04 adjusted/raw closes.', 'factor_anchors': [{'date': '2025-07-31', 'official_raw_close': 42.65}, {'date': '2025-08-04', 'official_raw_close': 37.85}], 'raw_ohlcv': {'open': 41.8, 'high': 42.25, 'low': 40.6, 'close': 40.7, 'volume': 50445289}, 'adjusted_row_sha256': '81a96f142eb5ef965ecf11562e40d5366a273741e72c88958ad63b81b70c5b09'}]",Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,747850b9c68ef956ff2bd0d5e5532c085370c77a1da4f2e962a6d228949bcec4,12.0,0.0,official_gap_adjustments.csv,7ccef3a27346694ae75c754686fb689c19b7cab6ccee43a48a23c741f7aa7d80,[],available,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,8edf1d297b927d43d6d0ed00348e29a553a3e841c657843167b7365a239eeabe
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2002.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3068.0,2026-08-01T17:00:14+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,44e6c9123829ba85869e57819680b1dc9fbf58fbc9fb074c21d95ebcc01afe50,8.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",4647509fb95211e3e63d1cfa4bb1436c7bedc2b810be80eaa61fb1f464cf069a,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,0cabf9b3ea36b8bbc0b9045d5d65ff8b51f42afeee91d6e3bc42056b966b8cd4,13.0,0.0,official_gap_adjustments.csv,8f5910a436fb405aa8adff557787989df855c4143f3b9ff743e7b29217f3ea5f,[],available,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,d384289a76ce34a4489cd7feb8573e45a1fc84518c2a9c02d91bd5ccf92f1f11
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2105.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3068.0,2026-08-01T17:00:15+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,e4862f006200e41a3da049dcf796db8d6515469cab926076fb6d028bfea5de82,8.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",5d691c0058440574c520aec52cae4e4fe20fa5da0d462e25698f3bab085a7088,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,627162c3ea61ffa1f2b19732c06faa654334bce82f24d2a8593db15e642c12ed,13.0,0.0,official_gap_adjustments.csv,69f9eefe743e5714244e5516f1a4e1108f302fdd0d98e10c6b1ec1a0a9e52270,[],available,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,6a89e9997eefad69117cb0b672ae3eb4976989c845c0d9cfb46777ce1ae1119d
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2308.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3067.0,2026-08-01T17:00:13+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,1a5ed79197db9067773d586c96a39ded96243fda80df06b14e5acd7182234947,8.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",f7b98f85a665713732f9ed60a6b90dc0b7171c0be24cb289e0e92015d3864cc1,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,f04457e7a255d9ec735fa050cf0a66aa5c715aa67b8d6298128187a435414b78,12.0,1.0,official_gap_adjustments.csv,01043e97edeb24d01cbcace69fd469511410d1725adbfaf41d262c5a5160c322,"[{""status"":""insufficient_data"",""symbol"":""2308.TW"",""date"":""2016-09-10"",""reason"":""ambiguous_factor_consensus"",""candidate_anchor_count"":18,""largest_consensus_size"":2,""largest_consensus_group_count"":2,""action_segment"":""2016-07-07""}]",quality_warning,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,7357c5d79ebc16e8293a5d4a60db54a368bc30c8fcdb7f57ed4d30ead740d31c
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2317.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3060.0,2026-08-01T17:00:12+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,b7bce767a8d788e7bb3611f5030c5d8701801eea03039645a29cb2336a78b387,16.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-03-30', '2016-07-08', '2016-09-27', '2016-09-28', '2018-10-18', '2018-10-19', '2018-10-22', '2018-10-23', '2018-10-24', '2018-10-25', '2021-08-17', '2025-07-30', '2026-07-10']",f1f0fbfc0468bcbce925335d345a69abe26b77375aed9e7974e0ed90dadd8a79,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,55007d6d802357e503596a303e199b1af7e8d5410235a286cf8ce391044d9a9b,13.0,0.0,official_gap_adjustments.csv,0d735bde301241658bc24649c3a4dbf383977346631148a3647ba4a6912098b1,[],available,"[""2016-03-30"",""2018-10-18"",""2018-10-19"",""2018-10-22"",""2018-10-23"",""2018-10-24"",""2018-10-25"",""2025-07-30""]","[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-03-30"",""2016-07-08"",""2018-10-18"",""2018-10-19"",""2018-10-22"",""2018-10-23"",""2018-10-24"",""2018-10-25"",""2025-07-30""]",available,zero_volume_reconciliation.csv,b9be2d62d0ff7cc19751c9265a43dcfea703254d608cbdd431a7eab05560cb6e
hybrid immutable adjusted parent + TWSE official raw gap rows,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2412.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3068.0,2026-08-01T17:00:16+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,249f9e03947bbf27f1d37285a2f3e1f8100f91a5e7104e3edb29251082a43f09,8.0,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']",d123f9feee70a39d107c7af8316a8e6afff5d236684c1a7080556f3e63595096,,Yahoo Finance via yfinance,True,provider_compatible_adjusted_v1,1e-06,2.0,104fc71d919a1b3eb88a237324e5c9f3170b8d88f38910a586321705d759112e,13.0,0.0,official_gap_adjustments.csv,ff0c8c6912d7a87dd8b15872c148deedfbd323584b1e57cb8c0713c8310c4a22,[],available,[],"[""2014-07-23"",""2016-07-08""]","[""2014-07-23"",""2016-07-08""]",available,zero_volume_reconciliation.csv,a0dcd355784f8137cb0a2c40734445577f4fd5e572813607acd48492396590b5
